,source_ind,state_name,company_name,brkr_district_code,brkr_district_name,brkr_tax_dist_code,brkr_tax_dist_name,substation_id,substation_name,sub_number,master_cdf,feeder_number,operating_voltage,effective_kv_class,circuit_use,construction_class,tot_ckt_lngth_ft,tot_ckt_lngth_mi,tot_oh_lngth_ft,tot_oh_lngth_mi,tot_ug_lngth_ft,tot_ug_lngth_mi,tot_3phs_lngth_ft,tot_3phs_oh_lngth_ft,tot_3phe_ug_lngth_ft,tot_5kv_lngth_ft,tot_5kv_oh_3phs_lngth_ft,tot_5kv_oh_lngth,tot_5kv_oh_ot_lngth_ft,tot_5kv_ug_3phs_lngth_ft,tot_5kv_ug_ot_lngth_ft,tot_15kv_lngth_ft,tot_15kv_oh_3_phs_lngth_ft,tot_15kv_oh_lngth_ft,tot_15kv_oh_ot_lngth_ft,tot_15kv_ug_3phs_lngth_ft,tot_15kv_ug_ot_lngth_ft,tot_ovr15kv_lngth_ft,tot_ovr15kv_oh_3phs_lngth_ft,tot_ovr15kv_oh_lngth,tot_ovr15kv_oh_ot_lngth_ft,tot_ovr15kv_ug_3phs_lngth_ft,tot_ovr15kv_ug_ot_lngth_ft,customers_served,breaker_setting,tra_nom_ca,sub_nom_voltge,sub_tax_dist,eap_sub_id,sub_str_address,sta_config,sta_regltn,sub_long,sub_lat,sub_gps_date,tbl_load_date
719,NE,Massachusetts,Massachusetts Electric,1.0,Central,198.0,Sterling,379155724,PRATTS JUNC.,225,05_01_225W3,225W3,13.8,15000.0,Distribution,OH,131100.0,24.83,106149.0,20.1,24951.0,4.73,64806.0,58408.0,6398.0,8711.0,200.0,8711.0,8511.0,0.0,0.0,122389.0,58208.0,97438.0,39230.0,6398.0,18467.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.0,,0.0,0.0,198.0,01-0225,"26 PRATTS JCT RD, STERLING, MA",,,-71.738991,42.471325,,2019-07-23 04:16:29
720,NE,Massachusetts,Massachusetts Electric,1.0,Central,198.0,Sterling,379155724,PRATTS JUNC.,225,05_01_225W4,225W4,13.8,15000.0,Distribution,Mixed,54303.0,10.28,41803.0,7.92,12500.0,2.37,25741.0,21540.0,4201.0,0.0,0.0,0.0,0.0,0.0,0.0,54303.0,21540.0,41803.0,20263.0,4201.0,8299.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,,0.0,0.0,198.0,01-0225,"26 PRATTS JCT RD, STERLING, MA",,,-71.738991,42.471325,,2019-07-23 04:16:29
721,NE,Massachusetts,Massachusetts Electric,1.0,Central,361.0,Pepperell,379155728,GROTON ST.,226,05_01_226L1,226L1,13.2,15000.0,Distribution,Mixed,240661.0,45.58,172634.0,32.7,68027.0,12.88,75689.0,68951.0,6738.0,13175.0,0.0,13175.0,13175.0,0.0,0.0,227486.0,68951.0,159459.0,90508.0,6738.0,61289.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.0,,0.0,0.0,361.0,01-0226,"37 GROTON ST, PEPPERELL, MA",,,-71.57487499999998,42.669140000000006,,2019-07-23 04:16:29
722,NE,Massachusetts,Massachusetts Electric,1.0,Central,361.0,Pepperell,379155728,GROTON ST.,226,05_01_226L2,226L2,13.2,15000.0,Distribution,OH,374467.0,70.92,323539.0,61.28,50928.0,9.65,88217.0,87618.0,599.0,40005.0,0.0,39849.0,39849.0,0.0,156.0,333997.0,87618.0,283225.0,195607.0,599.0,50173.0,0.0,0.0,0.0,0.0,0.0,0.0,3043.0,,0.0,0.0,361.0,01-0226,"37 GROTON ST, PEPPERELL, MA",,,-71.57487499999998,42.669140000000006,,2019-07-23 04:16:29
723,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W1,304W1,13.8,15000.0,Distribution,Mixed,235255.0,44.56,149264.0,28.27,85991.0,16.29,89501.0,80207.0,9294.0,0.0,0.0,0.0,0.0,0.0,0.0,235141.0,80207.0,149150.0,68943.0,9294.0,76697.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
724,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W2,304W2,13.8,15000.0,Distribution,Mixed,396697.0,75.13,264828.0,50.16,131869.0,24.98,127727.0,111645.0,16082.0,0.0,0.0,0.0,0.0,0.0,0.0,396697.0,111645.0,264828.0,153183.0,16082.0,115787.0,0.0,0.0,0.0,0.0,0.0,0.0,4053.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
725,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W3,304W3,13.8,15000.0,Distribution,Mixed,219194.0,41.51,148807.0,28.18,70387.0,13.33,102533.0,75510.0,27023.0,21510.0,1626.0,14115.0,12489.0,2604.0,4791.0,197548.0,73884.0,134556.0,60672.0,24419.0,38424.0,0.0,0.0,0.0,0.0,0.0,0.0,2993.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
726,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W4,304W4,13.8,15000.0,Distribution,Mixed,193499.0,36.65,143396.0,27.16,50103.0,9.49,72491.0,62499.0,9992.0,3866.0,2783.0,3866.0,1083.0,0.0,0.0,189198.0,59716.0,139095.0,79379.0,9992.0,40111.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
727,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W5,304W5,13.8,15000.0,Distribution,OH,290818.0,55.08,253435.0,48.0,37383.0,7.08,86036.0,77557.0,8479.0,0.0,0.0,0.0,0.0,0.0,0.0,290341.0,77557.0,252958.0,175401.0,8479.0,28904.0,0.0,0.0,0.0,0.0,0.0,0.0,3487.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
728,NE,Massachusetts,Massachusetts Electric,1.0,Central,147.0,Millbury,379155736,MILLBURY,304,05_01_304W6,304W6,13.8,15000.0,Distribution,OH,433541.0,82.11,360521.0,68.28,73020.0,13.83,140862.0,130523.0,10339.0,5990.0,0.0,5990.0,5990.0,0.0,0.0,426491.0,129981.0,353989.0,224008.0,9821.0,62681.0,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,,0.0,0.0,147.0,01-0304,"50,GRAFTON ST,MILLBURY,MA",,,0.0,0.0,,2019-07-23 04:16:29
