,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
259,1,Central,2003,05_01_HT42,524.4166666666666
260,1,Central,2003,05_01_HT43,0.0
261,1,Central,2003,05_01_HT44,0.0
262,1,Central,2003,05_01_HT45,6.75
263,1,Central,2003,05_01_HT46,5.833333333333333
264,1,Central,2003,05_01_HT47,3.6666666666666665
265,1,Central,2003,05_01_HT48,1.5
266,1,Central,2003,05_01_HT49,0.0
267,1,Central,2003,05_01_HT5,0.0
268,1,Central,2003,05_01_HT50,0.0
269,1,Central,2003,05_01_HT51,0.0
270,1,Central,2003,05_01_HT52,29.166666666666668
271,1,Central,2003,05_01_HT53,0.0
272,1,Central,2003,05_01_HT55,532.75
273,1,Central,2003,05_01_HT56,7.333333333333333
274,1,Central,2003,05_01_HT57,17.583333333333332
275,1,Central,2003,05_01_HT58,0.0
276,1,Central,2003,05_01_HT59,329.8333333333333
277,1,Central,2003,05_01_HT6,0.3333333333333333
278,1,Central,2003,05_01_HT60,8.25
279,1,Central,2003,05_01_HT6A,0.0
280,1,Central,2003,05_01_HT7,0.0
281,1,Central,2003,05_01_HT7A,0.0
282,1,Central,2003,05_01_HT8,0.0
283,1,Central,2003,05_01_HT9,0.0
284,1,Central,2004,05_01_10J323,611.5
285,1,Central,2004,05_01_10J366,1039.1666666666667
286,1,Central,2004,05_01_10J383,851.0833333333334
287,1,Central,2004,05_01_10J99,0.0
288,1,Central,2004,05_01_11J314,407.0833333333333
289,1,Central,2004,05_01_11J325,170.58333333333334
290,1,Central,2004,05_01_11J330,399.5
291,1,Central,2004,05_01_11J331,1098.5
292,1,Central,2004,05_01_11J332,689.8333333333334
293,1,Central,2004,05_01_11J333,60.166666666666664
294,1,Central,2004,05_01_11J334,944.9166666666666
295,1,Central,2004,05_01_11J346,629.0
296,1,Central,2004,05_01_11J347,991.9166666666666
297,1,Central,2004,05_01_11J351,460.5833333333333
298,1,Central,2004,05_01_11J354,878.8333333333334
299,1,Central,2004,05_01_11J357,141.25
300,1,Central,2004,05_01_12J376,381.8333333333333
301,1,Central,2004,05_01_12J377,370.3333333333333
302,1,Central,2004,05_01_12J378,829.5
303,1,Central,2004,05_01_12J391,17.833333333333332
304,1,Central,2004,05_01_13J343,0.0
305,1,Central,2004,05_01_13J350,328.4166666666667
306,1,Central,2004,05_01_13J358,831.8333333333334
307,1,Central,2004,05_01_14J367,562.6666666666666
308,1,Central,2004,05_01_14J368,418.3333333333333
309,1,Central,2004,05_01_14J379,0.0
310,1,Central,2004,05_01_14J380,0.0
311,1,Central,2004,05_01_15J385,0.0
312,1,Central,2004,05_01_15J392,774.25
313,1,Central,2004,05_01_16J1,215.08333333333334
314,1,Central,2004,05_01_16J2,189.0
315,1,Central,2004,05_01_16J3,0.4166666666666667
316,1,Central,2004,05_01_18J394,379.57142857142856
317,1,Central,2004,05_01_1J1,0.0
318,1,Central,2004,05_01_1J362,346.4166666666667
319,1,Central,2004,05_01_1J363,601.4166666666666
320,1,Central,2004,05_01_1J369,306.3333333333333
321,1,Central,2004,05_01_1J370,703.5
322,1,Central,2004,05_01_1J390,188.33333333333334
323,1,Central,2004,05_01_201W1,1698.0833333333333
324,1,Central,2004,05_01_201W2,2262.5833333333335
325,1,Central,2004,05_01_201W3,812.5
326,1,Central,2004,05_01_201W4,436.5833333333333
327,1,Central,2004,05_01_205H1,0.0
328,1,Central,2004,05_01_205H2,0.0
329,1,Central,2004,05_01_205H3,0.0
330,1,Central,2004,05_01_205H6,0.0
331,1,Central,2004,05_01_205H7,0.0
332,1,Central,2004,05_01_207H1,0.0
333,1,Central,2004,05_01_207H2,0.0
334,1,Central,2004,05_01_207W1,1960.6666666666667
335,1,Central,2004,05_01_207W2,3501.75
